,MoviesN,AvgPop,AvgIMDB,Score
Kelsey Grammer,7,0.03369063230039054,0.6243386243386243,0.4391017967819025
Richard Dillane,4,0.14374815324170326,0.7962962962962963,0.4390239631539656
Elizabeth Olsen,6,0.05273219225326854,0.6358024691358024,0.4390236839053358
Julie Andrews,7,0.021039233230923424,0.6296296296296295,0.4390117303883071
Merritt Wever,5,0.030902772495468165,0.6987654320987654,0.4389951070638085
Burt Young,6,0.03807742300995397,0.6419753086419753,0.4389518187424408
Carla Gugino,17,0.03612480277458017,0.6114742193173566,0.43886902942232164
Tim Curry,11,0.030536465250371073,0.6139169472502806,0.43875561653817685
Diane Kruger,6,0.04188809054522438,0.639917695473251,0.4386687813851719
David Koechner,16,0.025430403733225793,0.6157407407407407,0.4386466481525681
Wyatt Russell,7,0.03207200885709738,0.6243386243386243,0.4386249436192447
David Harbour,5,0.03453956076807544,0.6962962962962962,0.43843372348896764
Zoe Kazan,5,0.03441201064373329,0.6962962962962962,0.4384000197559228
Humphrey Bogart,4,0.032743115549296334,0.8425925925925926,0.43837032082745403
Hayden Christensen,6,0.03590405523074395,0.6419753086419753,0.4383307305680773
Ned Dennehy,5,0.034015609342980466,0.6962962962962962,0.4382952750236999
Kumar Pallana,5,0.022490625400756865,0.7012345679012345,0.4382946540096077
Robert Patrick,12,0.025138444340348957,0.6152263374485596,0.4381458980166607
Sam Shepard,8,0.03355433281880727,0.6157407407407407,0.4381327034298841
Allen Covert,9,0.0362451296834599,0.6117969821673525,0.4380456198884072
Elizabeth Berrington,5,0.027207935116620018,0.6987654320987654,0.43801878647374065
Steve Coulter,6,0.04423592684626205,0.6378600823045267,0.43796770747221175
Topher Grace,6,0.024984277583779073,0.6460905349794238,0.4379542019654817
Mia Wasikowska,5,0.02653355341594524,0.6987654320987654,0.4378405884443218
Margo Martindale,9,0.028785909347693997,0.6145404663923182,0.4377290773755961
Steve Harris,6,0.03853068201800279,0.639917695473251,0.4377093272363106
Ed Lauter,9,0.02867549578033849,0.6145404663923182,0.43769603520873246
Jenifer Lewis,9,0.03708847698195694,0.6104252400548696,0.43734015327611914
Jessica Alba,8,0.03357797658168967,0.6141975308641975,0.43706673210346847
John Bell,5,0.040858120413330194,0.691358024691358,0.437058603510815
Jim Belushi,12,0.021448318481902037,0.6152263374485596,0.4370389968615813
Alfre Woodard,7,0.03490177572080521,0.6208112874779541,0.4370338792365697
Sam Rockwell,6,0.030224685935135,0.6419753086419753,0.43670772449377726
Jon Lovitz,7,0.025139376941695026,0.6243386243386243,0.43658256157659014
Peter Jason,8,0.03152310365081004,0.6141975308641975,0.43645439611166303
James Le Gros,6,0.029290417154386548,0.6419753086419753,0.4364407364133656
Eileen Atkins,5,0.026880467390621797,0.6962962962962962,0.4364098913689214
Rob Schneider,8,0.03095235921116129,0.6141975308641975,0.4362843187520035
Anton Yelchin,6,0.03303114062478725,0.639917695473251,0.4361377109841408
Rene Russo,5,0.0311944523006531,0.6938271604938271,0.4360274496399186
