name,MoviesN,AvgPop,AvgIMDB,Score
Code Entertainment,1,0.015221086406422573,0.5555555555555555,0.04690101129028916
Freeman Film,1,0.014795496933915612,0.5555555555555555,0.04688579183767775
Subotica Entertainment,1,0.014795496933915612,0.5555555555555555,0.04688579183767775
KSM Film,1,0.014787632795755144,0.5555555555555555,0.04688551060920338
Epidemic Pictures,1,0.043016954100162166,0.5432098765432097,0.046864867176226226
Hal Roach Studios,1,0.04124112796235279,0.5432098765432097,0.04680136207683718
Inverness Productions,1,0.04124112796235279,0.5432098765432097,0.04680136207683718
Angeles Entertainment Group,1,0.04124112796235279,0.5432098765432097,0.04680136207683718
Gatlin,1,0.04124112796235279,0.5432098765432097,0.04680136207683718
Cinema Group,1,0.04124112796235279,0.5432098765432097,0.04680136207683718
Associated Capital,1,0.012372990774492146,0.5555555555555555,0.0467991608938318
Capital Equipment Leasing,1,0.012372990774492146,0.5555555555555555,0.0467991608938318
The Oxford Film Company,1,0.010106949285109459,0.5555555555555555,0.04671812526374446
Arachnid Productions Ltd.,1,0.010040095407626688,0.5555555555555555,0.046715734510481124
Part II Productions,1,0.038529347539784625,0.5432098765432097,0.04670438643176143
Millimeter Films,1,0.038529347539784625,0.5432098765432097,0.04670438643176143
Great Point Media,1,0.008784576525002427,0.5555555555555555,0.0466708360546423
Rabbit Bandini Films,1,0.008784576525002427,0.5555555555555555,0.0466708360546423
Mindel-Shaw Productions,1,0.007994427330360845,0.5555555555555555,0.046642579626791886
Atlantic Productions,1,0.007791554149555495,0.5555555555555555,0.04663532470400632
Ivory Way Productions,1,0.03593876326857478,0.5432098765432097,0.04661174486729961
Nadiadwala Grandson Entertainment,1,0.006345033140188383,0.5555555555555555,0.046583595844681434
Eros Entertainment,1,0.006345033140188383,0.5555555555555555,0.046583595844681434
Himenóptero,1,0.03493770269259109,0.5432098765432097,0.04657594606356609
Pacific Arts Video,1,0.005895120191219636,0.5555555555555555,0.04656750656322963
Chime Films,1,0.03420511244453877,0.5432098765432097,0.04654974799410227
Eyetronics,1,0.03420511244453877,0.5432098765432097,0.04654974799410227
Cowtown Cinema Ventures,1,0.03152570762395923,0.5432098765432097,0.0464539301289343
Melbarken,1,0.03152570762395923,0.5432098765432097,0.0464539301289343
Freerunning,1,0.03152570762395923,0.5432098765432097,0.0464539301289343
Saban Films,1,0.03152570762395923,0.5432098765432097,0.0464539301289343
Senator Film,1,0.03152570762395923,0.5432098765432097,0.0464539301289343
First Artists,1,0.0015129571371468031,0.5555555555555555,0.04641079657098278
Balmoral Associates,1,0.0015129571371468031,0.5555555555555555,0.04641079657098278
Serendipity Productions,1,0.057880429354511334,0.5308641975308641,0.04636624937190967
May Day Movies,1,0.02892658037132142,0.5432098765432097,0.046360983059967775
Triad Film Works,1,0.02892658037132142,0.5432098765432097,0.046360983059967775
Beatnik Films,1,0.02892658037132142,0.5432098765432097,0.046360983059967775
Rice Films,1,0.02892658037132142,0.5432098765432097,0.046360983059967775
Capacity Pictures,1,0.02892658037132142,0.5432098765432097,0.046360983059967775
Jason Productions,1,0.027822067562617705,0.5432098765432097,0.04632148471370527
Outlaw Sinema,1,0.05325442927999872,0.5308641975308641,0.04620081955406274
Pendle Mountain Productions,1,0.05325442927999872,0.5308641975308641,0.04620081955406274
Stone Group Pictures,1,0.02297742773725602,0.5432098765432097,0.04614823614670692
Coconut Pete Productions,1,0.022892064066679315,0.5432098765432097,0.04614518346701674
Black Sky Entertainment,1,0.022511069374976055,0.5432098765432097,0.04613155876285895
Down Home Entertainment,1,0.022511069374976055,0.5432098765432097,0.04613155876285895
Tonic Films,1,0.022511069374976055,0.5432098765432097,0.04613155876285895
Cabin Pictures,1,0.022511069374976055,0.5432098765432097,0.04613155876285895
Deer Path Films,1,0.022511069374976055,0.5432098765432097,0.04613155876285895
Central Cinema Company Film,1,0.02168596497392932,0.5432098765432097,0.04610205230618553
Palomar Pictures International,1,0.02168596497392932,0.5432098765432097,0.04610205230618553
Kingston Film Productions Ltd.,1,0.02168596497392932,0.5432098765432097,0.04610205230618553
Unthank Films,1,0.021290561398717357,0.5432098765432097,0.04608791232772256
Ingenious Broadcasting,1,0.021290561398717357,0.5432098765432097,0.04608791232772256
Story Bridge Films,1,0.021290561398717357,0.5432098765432097,0.04608791232772256
Quickfire Films,1,0.021290561398717357,0.5432098765432097,0.04608791232772256
Auburn Entertainment,1,0.021290561398717357,0.5432098765432097,0.04608791232772256
Angry Films,1,0.13641794445799077,0.49382716049382713,0.04608437363201762
barefoot films,1,0.021112864600017576,0.5432098765432097,0.04608155773443085
Ghost Ship Films Pty. Ltd.,1,0.04858104594541433,0.5308641975308641,0.04603369526929915
Jessie Nelson Productions,1,0.019153092824199865,0.5432098765432097,0.046011474577778676
David Dobkin Productions,1,0.019153092824199865,0.5432098765432097,0.046011474577778676
AE Two Film Productions,1,0.01878443567372754,0.5432098765432097,0.04599829107491048
Angel Eyes Productions,1,0.01878443567372754,0.5432098765432097,0.04599829107491048
Triggerfish Animation,1,0.01816988060428024,0.5432098765432097,0.04597631404690399
Midwinter Productions Inc.,1,0.045319517357336546,0.5308641975308641,0.045917060147911894
ML Film Entertainment International,1,0.01595250347405875,0.5432098765432097,0.045897018696959765
Pentamerica,1,0.013815487461719594,0.5432098765432097,0.0458205971310361
Crystal Sky Worldwide,2,0.02053788087119445,0.23456790123456786,0.045816563398088914
Constantin Film International,1,0.042484678315983834,0.5308641975308641,0.04581568381875441
Vanguard Films,1,0.041205852481175274,0.5308641975308641,0.04576995188587444
Scanbox,1,0.041205852481175274,0.5308641975308641,0.04576995188587444
Atlas Productions,1,0.012165539753190551,0.5432098765432097,0.045761593554623996
RV Camping Productions Ltd.,1,0.040073044092583,0.5308641975308641,0.04572944166487103
Burgundy Films,1,0.01119445968089785,0.5432098765432097,0.04572686687998358
Lewis Gilbert Productions,1,0.03862868493792933,0.5308641975308641,0.045677790115365796
Modern VideoFilm,1,0.03862868493792933,0.5308641975308641,0.045677790115365796
AXN,1,0.006706686020639078,0.5432098765432097,0.04556638015988055
Rodar y Rodar Cine y Televisión,1,0.006706686020639078,0.5432098765432097,0.04556638015988055
Hacienda Productions,1,0.03542237241685603,0.5308641975308641,0.045563129568937384
International Film Corporation,1,0.03234702442769805,0.5308641975308641,0.045453152428974644
